fold,row_index,date,actual,predicted,prob_up,next_day_return,signal,position_change,transaction_cost,strategy_return,equity_curve,buy_hold_curve,benchmark_return,drawdown
4,181,2022-09-26,0,1,0.545645619677636,-0.0005230508522044985,1,0.0,0.0,-0.0005230508522044985,0.9253595162565795,1.0197750748893508,-0.0005230508522044985,-0.07464048374342047
4,182,2022-09-27,0,1,0.6313482231449065,-0.00874917846539458,1,0.0,0.0,-0.00874917846539458,0.9172633807041995,1.0108528807645827,-0.00874917846539458,-0.08273661929580045
4,183,2022-09-28,0,1,0.5238799096072445,-0.0024023347691036756,1,0.0,0.0,-0.0024023347691036756,0.9150598069923083,1.0084244737426733,-0.0024023347691036756,-0.08494019300769173
4,184,2022-09-29,1,1,0.86860180393485,0.01642575596626905,1,0.0,0.0,0.01642575596626905,0.9300903560765051,1.0249886080587838,0.01642575596626905,-0.06990964392349486
4,185,2022-09-30,0,1,0.796326565320776,-0.012109264448790458,1,0.0,0.0,-0.012109264448790458,0.9188276459935051,1.0125767499468024,-0.012109264448790458,-0.08117235400649492
5,186,2022-10-03,1,1,0.6436976881105542,0.02291367093271912,1,0.0,0.0,0.02291367093271912,0.9398813603176852,1.0357786003892056,0.02291367093271912,-0.06011863968231479
5,187,2022-10-04,1,1,0.567193852193691,0.0033286441360573793,1,0.0,0.0,0.0033286441360573793,0.9430098908962963,1.039226338753645,0.0033286441360573793,-0.05699010910370372
5,188,2022-10-06,0,0,0.4297008972843176,-0.0009895331040011834,0,1.0,0.001,-0.001,0.9420668810053999,1.0381979898888982,-0.0009895331040011834,-0.057933118994600075
5,189,2022-10-07,0,0,0.0896018180791958,-0.00425364584114718,0,0.0,0.0,-0.0,0.9420668810053999,1.03378186332692,-0.00425364584114718,-0.057933118994600075
5,190,2022-10-10,0,0,0.125187468433126,-0.014932383199930399,0,0.0,0.0,-0.0,0.9420668810053999,1.0183450363985844,-0.014932383199930399,-0.057933118994600075
5,191,2022-10-11,1,0,0.4203056555540831,0.008246145339619648,0,0.0,0.0,0.0,0.9420668810053999,1.0267424575746074,0.008246145339619648,-0.057933118994600075
5,192,2022-10-12,0,1,0.5120990117992401,-0.006380083772817624,1,1.0,0.001,-0.007380083772817624,0.935114348503983,1.0201917546821728,-0.006380083772817624,-0.064885651496017
5,193,2022-10-13,1,0,0.2947044621303298,0.010070888003887335,0,1.0,0.001,-0.001,0.934179234155479,1.0304659915860663,0.010070888003887335,-0.06582076584452101
5,194,2022-10-14,1,0,0.498163877801948,0.007337586960815656,0,0.0,0.0,0.0,0.934179234155479,1.0380271254094922,0.007337586960815656,-0.06582076584452101
5,195,2022-10-17,1,0,0.2844269021938875,0.010117285874136073,0,0.0,0.0,0.0,0.934179234155479,1.0485291425823677,0.010117285874136073,-0.06582076584452101
5,196,2022-10-18,1,0,0.3736258867834461,0.0014468379208691928,0,0.0,0.0,0.0,0.934179234155479,1.0500461943069923,0.0014468379208691928,-0.06582076584452101
5,197,2022-10-19,1,0,0.2478048591680083,0.0029521745492440132,0,0.0,0.0,0.0,0.934179234155479,1.053146113957356,0.0029521745492440132,-0.06582076584452101
5,198,2022-10-20,1,0,0.0634766712572635,0.0007032337856462956,0,0.0,0.0,0.0,0.934179234155479,1.053886721885913,0.0007032337856462956,-0.06582076584452101
5,199,2022-10-21,1,0,0.4951306586581829,0.008787356376761757,0,0.0,0.0,0.0,0.934179234155479,1.0631476000918616,0.008787356376761757,-0.06582076584452101
5,200,2022-10-24,0,0,0.332925503854085,-0.004196122026705051,0,0.0,0.0,-0.0,0.934179234155479,1.0586865030294774,-0.004196122026705051,-0.06582076584452101
5,201,2022-10-25,1,0,0.4793846240638371,0.004564907874966551,0,0.0,0.0,0.0,0.934179234155479,1.0635193093842774,0.004564907874966551,-0.06582076584452101
